SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO,Ash_Deformation,Ash_Softening,Ash_Fluid
42.1,23.4,26.3,1.56,0.481,0.203,1.25,1.76,1.82,40600.0,25500.0,37900.0,2300.0,598.0,309.0,2150.0,2170.0,0.758,19.8,20.6,18.25,0.011,2117.0,2230.0,2376.0
24.4,14.7,42.9,2.9,0.697,0.405,1.25,0.635,4.55,4400.0,3010.0,11600.0,799.0,162.0,116.0,401.0,147.0,1.85,3.8,3.86,3.41,0.02,2000.0,2050.0,2150.0
33.6,30.1,18.3,3.18,0.78,1.11,0.745,1.19,4.78,2050.0,2080.0,1670.0,297.0,61.5,107.0,81.1,92.9,1.92,1.3,1.31,1.25,0.056,2300.0,2420.0,2640.0
35.9,20.5,35.3,1.58,0.498,0.176,1.15,1.02,2.36,12600.0,8180.0,18600.0,851.0,226.0,98.0,721.0,460.0,0.949,7.5,7.54,7.77,0.0065,1960.0,2100.0,2450.0
55.6,32.8,2.64,0.504,0.858,0.891,2.89,1.44,1.4,61200.0,38400.0,3590.0,445.0,1190.0,1560.0,6160.0,2140.0,0.585,21.8,22.7,21.54,0.00942,2800.0,2800.0,2800.0
57.8,32.6,1.1,1.15,0.382,0.068,0.613,2.58,1.35,13900.0,8840.0,395.0,421.0,118.0,26.0,262.0,790.0,0.554,5.0,5.13,4.84,0.0028,2800.0,2800.0,2800.0
39.0,34.0,4.4,3.9,0.146,0.0743,1.8,2.2,3.1,16900.0,16700.0,2850.0,2580.0,81.6,51.0,1390.0,1220.0,1.28,9.0,9.28,9.9,0.0263,2430.0,2560.0,2910.0
49.5,37.1,4.8,1.2,0.332,0.851,1.1,1.6,2.8,16900.0,14300.0,2450.0,625.0,146.0,459.0,667.0,698.0,1.17,7.0,7.29,6.5,0.0072,2800.0,2800.0,2800.0
47.9,35.7,5.61,1.66,0.896,1.08,0.86,1.4,2.7,8390.0,7080.0,1470.0,444.0,203.0,300.0,268.0,314.0,1.13,3.6,3.75,2.8,0.022,2910.0,2910.0,2910.0
49.7,25.4,13.7,0.133,1.99,0.989,3.73,0.927,1.67,84300.0,48900.0,34500.0,327.0,4350.0,2630.0,11200.0,2000.0,0.697,34.8,36.2,32.76,0.0143,2259.0,2386.0,2565.0
47.3,29.1,17.3,0.7,0.598,1.28,1.8,1.2,1.6,18200.0,12700.0,9960.0,411.0,296.0,782.0,1230.0,591.0,0.667,7.9,8.23,7.6,0.0097,2410.0,2530.0,2645.0
52.3,36.8,3.8,0.7,0.78,0.5,2.5,1.3,1.5,22900.0,18300.0,2490.0,469.0,441.0,347.0,1950.0,729.0,0.625,9.0,9.38,15.8,0.007,2910.0,2910.0,2910.0
41.1,19.7,27.3,1.27,0.896,0.311,1.79,1.32,1.68,15200.0,8210.0,15100.0,719.0,426.0,182.0,1180.0,624.0,0.678,7.8,7.9,8.0,0.017,2000.0,2090.0,2150.0
32.1,20.2,16.6,8.4,2.32,0.689,1.95,0.803,10.6,2150.0,1540.0,1670.0,861.0,201.0,73.2,233.0,68.9,4.34,1.4,1.44,1.47,0.027,2100.0,2260.0,2340.0
36.7,23.5,14.1,7.07,1.64,0.27,2.13,1.15,6.1,4750.0,3450.0,2740.0,1400.0,275.0,55.5,491.0,191.0,2.51,2.7,2.77,6.59,0.09,2000.0,2100.0,2220.0
52.2,36.7,3.1,1.04,0.481,0.27,1.48,1.55,1.2,12800.0,10200.0,1140.0,391.0,152.0,105.0,645.0,485.0,0.484,5.2,5.25,5.45,0.0071,2800.0,2800.0,2800.0
56.1,25.0,6.52,2.21,0.813,0.176,1.95,1.59,1.5,31400.0,15800.0,5460.0,1890.0,587.0,156.0,1940.0,1140.0,0.609,11.8,12.0,8.8,0.014,2040.0,2160.0,2250.0
39.0,25.0,7.3,3.9,1.44,0.365,2.5,1.0,0.73,14400.0,10500.0,4040.0,2200.0,689.0,214.0,1650.0,473.0,0.304,7.6,7.92,4.9,0.012,2430.0,2480.0,2590.0
27.3,15.1,49.8,1.83,0.681,0.459,1.38,0.535,3.0,24000.0,15000.0,65500.0,2460.0,770.0,639.0,2160.0,601.0,1.22,18.5,18.8,18.7,0.026,2190.0,2280.0,2400.0
27.1,11.4,10.9,16.1,4.4,4.36,0.535,0.445,22.1,19400.0,7520.0,10600.0,12700.0,2980.0,3420.0,763.0,349.0,9.43,12.1,12.9,9.63,0.0398,2270.0,2346.0,2405.0
41.9,28.1,20.4,1.76,0.813,0.041,1.43,1.01,2.2,11100.0,8400.0,8060.0,711.0,276.0,17.0,671.0,340.0,0.886,5.6,5.64,5.61,0.014,2240.0,2510.0,2640.0
37.9,16.3,28.1,0.76,0.498,0.0729,1.3,1.0,1.2,10800.0,5270.0,12000.0,332.0,183.0,33.0,661.0,366.0,0.506,5.8,6.11,5.9,0.013,1955.0,2055.0,2155.0
61.6,11.0,10.3,3.26,0.88,0.162,0.697,0.903,5.55,104000.0,21000.0,26000.0,8420.0,1920.0,434.0,2100.0,1950.0,2.35,34.2,36.1,32.72,0.042,2390.0,2480.0,2520.0
51.8,32.4,2.3,1.4,1.18,0.635,2.7,1.2,2.6,14100.0,10000.0,938.0,583.0,414.0,274.0,1310.0,419.0,1.08,5.6,5.83,7.9,0.016,2840.0,2910.0,2910.0
48.0,25.0,15.0,0.28,0.863,0.189,2.7,1.0,0.71,37600.0,22200.0,17600.0,335.0,872.0,235.0,3770.0,1000.0,0.296,16.1,16.8,15.6,0.0134,2420.0,2470.0,2520.0
52.2,34.1,2.89,0.677,0.726,0.244,2.97,1.08,0.623,23900.0,17900.0,2020.0,453.0,465.0,193.0,2680.0,632.0,0.252,9.79,9.89,9.34,0.00632,2800.0,2800.0,2800.0
56.6,25.8,7.21,0.504,1.83,0.392,4.01,1.2,0.825,53300.0,27600.0,10200.0,727.0,2220.0,585.0,6740.0,1450.0,0.333,20.0,20.2,16.8,0.02,2660.0,2780.0,2800.0
50.5,25.7,6.36,1.52,0.892,0.488,2.82,1.23,1.58,49300.0,27500.0,9010.0,1800.0,1190.0,694.0,5170.0,1540.0,0.644,19.2,19.5,18.3,0.00667,2488.0,2581.0,2687.0
36.7,21.7,26.0,2.93,0.83,0.702,1.25,1.71,3.05,9730.0,6510.0,10300.0,1190.0,284.0,295.0,590.0,579.0,1.24,5.6,5.67,5.4,0.011,2510.0,2620.0,2700.0
45.1,28.4,16.3,1.57,0.73,0.243,2.94,1.35,1.83,21000.0,15000.0,11400.0,1120.0,438.0,179.0,2440.0,807.0,0.734,9.9,9.96,8.6,0.0081,2420.0,2550.0,2670.0
33.4,34.0,3.31,4.53,1.2,0.641,1.05,2.33,4.78,6540.0,7430.0,955.0,1340.0,301.0,195.0,368.0,592.0,2.0,3.96,4.15,3.63,0.00634,2301.0,2484.0,2758.0
37.2,23.6,15.0,8.15,1.16,0.284,2.27,0.936,3.25,27000.0,19400.0,16300.0,9040.0,1090.0,326.0,2940.0,870.0,1.32,15.3,15.5,15.6,0.039,2250.0,2350.0,2440.0
39.8,20.2,13.6,3.33,2.16,0.23,1.31,0.686,5.78,7500.0,4310.0,3830.0,959.0,524.0,68.5,439.0,165.0,2.45,3.8,4.03,3.42,0.1,2250.0,2320.0,2540.0
40.0,31.1,17.6,2.24,0.531,0.311,1.3,1.48,3.5,12600.0,11100.0,8340.0,1080.0,216.0,156.0,730.0,597.0,1.41,6.7,6.76,6.65,0.014,2340.0,2510.0,2630.0
46.1,26.3,11.3,1.2,1.01,0.203,2.8,1.1,2.2,26400.0,17100.0,9690.0,1050.0,748.0,184.0,2860.0,807.0,0.914,11.8,12.3,11.3,0.01,2455.0,2555.0,2655.0
44.7,26.2,19.7,1.93,0.664,0.216,1.89,1.14,1.9,27800.0,18400.0,18300.0,1830.0,531.0,213.0,2090.0,905.0,0.765,13.2,13.3,13.58,0.028,2260.0,2380.0,2610.0
44.6,32.1,7.47,2.57,0.714,0.81,1.96,1.02,2.95,15600.0,12700.0,3920.0,1380.0,323.0,450.0,1220.0,457.0,1.23,7.2,7.5,6.6,0.014,2800.0,2800.0,2800.0
83.9,7.54,4.79,0.994,0.465,0.122,0.925,0.334,1.15,48000.0,4890.0,4110.0,870.0,343.0,110.0,944.0,245.0,0.474,11.9,12.3,10.4,0.013,2280.0,2370.0,2490.0
35.2,15.1,7.05,10.9,1.64,2.16,0.469,0.635,16.9,14200.0,6900.0,4250.0,6700.0,854.0,1380.0,336.0,328.0,7.27,8.0,8.63,7.06,0.028,2110.0,2190.0,2250.0
57.1,30.4,2.97,1.2,0.675,0.896,1.1,1.5,3.11,21800.0,13800.0,1580.0,618.0,330.0,536.0,822.0,739.0,1.29,7.91,8.24,8.11,0.0261,2800.0,2800.0,2800.0
