Sample_ID,Ash_Deformation,Ash_Softening,Ash_Fluid,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,TiO2,SO3,Si,Al,Fe,Ca,Mg,Na,K,Ti,TS,GSAsh,GSAsh_Dry,Standard_Ash,MnO
W210183,2800.0,2800.0,2800.0,42.7,33.9,7.98,2.87,0.614,0.932,1.18,1.49,3.73,6240.0,5620.0,1750.0,642.0,116.0,216.0,307.0,279.0,1.51,3.1,3.13,3.1,0.0068
W210184,2450.0,2600.0,2740.0,36.1,30.9,11.2,2.28,0.631,1.49,1.98,1.37,3.38,5280.0,5130.0,2460.0,510.0,119.0,344.0,517.0,257.0,1.36,3.1,3.13,3.6,0.014
W210185,2410.0,2500.0,2630.0,47.6,24.5,10.2,4.23,1.03,0.729,1.88,0.903,3.58,11700.0,6800.0,3730.0,1590.0,326.0,284.0,820.0,284.0,1.45,5.2,5.26,5.5,0.017
W210186,2800.0,2800.0,2800.0,48.0,35.2,3.7,1.36,1.31,0.594,2.5,1.15,1.68,17000.0,14100.0,1970.0,737.0,600.0,334.0,1580.0,524.0,0.678,7.5,7.59,7.3,0.052
W210187,2260.0,2350.0,2450.0,45.8,20.5,15.8,1.95,0.88,0.581,2.09,1.02,2.78,7350.0,3720.0,3800.0,477.0,182.0,148.0,597.0,209.0,1.12,3.4,3.43,4.0,0.056
W210188,2650.0,2760.0,2800.0,41.3,33.9,11.6,1.11,0.598,0.338,1.75,1.39,1.3,16800.0,15500.0,7020.0,685.0,312.0,217.0,1270.0,720.0,0.524,8.6,8.67,7.6,0.0077
W210189,2740.0,2800.0,2800.0,45.6,30.9,6.58,2.16,1.11,0.864,2.42,1.37,2.48,6440.0,4950.0,1390.0,465.0,202.0,193.0,607.0,248.0,0.997,3.0,3.02,3.2,0.017
W210190,2800.0,2800.0,2800.0,45.1,33.3,5.68,1.36,1.01,0.486,3.22,1.25,1.27,11100.0,9230.0,2080.0,509.0,320.0,189.0,1410.0,394.0,0.515,5.2,5.25,5.5,0.0054
W210191,2770.0,2800.0,2800.0,42.3,30.3,10.9,1.75,0.465,0.297,1.26,0.853,1.27,16700.0,13500.0,6430.0,1060.0,236.0,186.0,887.0,431.0,0.513,8.4,8.44,8.2,0.0051
W210192,2800.0,2800.0,2800.0,44.1,29.9,12.1,1.25,0.481,0.324,0.877,1.91,1.83,12300.0,9390.0,5030.0,529.0,172.0,143.0,434.0,677.0,0.735,5.9,5.94,6.6,0.0029
W210193,2420.0,2510.0,2620.0,43.0,28.1,15.4,0.644,1.11,0.446,3.51,1.09,1.15,15200.0,11200.0,8170.0,348.0,507.0,250.0,2210.0,492.0,0.464,7.5,7.57,7.9,0.0069
W210194,1980.0,2070.0,2160.0,25.3,15.9,37.2,4.86,0.913,0.149,1.57,0.836,4.05,7790.0,5530.0,17100.0,2290.0,363.0,72.5,864.0,330.0,1.64,6.5,6.59,6.5,0.046
W210196,2240.0,2370.0,2460.0,48.3,22.5,17.4,0.686,0.714,0.203,2.26,1.19,1.27,40200.0,21200.0,21700.0,873.0,766.0,267.0,3350.0,1260.0,0.516,17.6,17.8,17.5,0.015
W210197,2010.0,2100.0,2240.0,33.1,17.9,21.3,10.4,1.49,0.189,1.35,0.803,3.65,14500.0,8910.0,14000.0,6970.0,847.0,132.0,1050.0,452.0,1.48,9.3,9.41,7.8,0.043
W210253,2330.0,2580.0,2680.0,37.9,25.3,17.6,3.15,0.93,0.716,1.6,1.34,2.9,4390.0,3310.0,3050.0,558.0,139.0,131.0,330.0,198.0,1.2,2.4,2.48,2.01,0.017
W210254,2800.0,2800.0,2800.0,49.3,33.5,4.93,0.77,0.83,0.122,1.88,1.0,1.05,25900.0,19900.0,3870.0,617.0,561.0,101.0,1750.0,673.0,0.432,10.9,11.2,10.4,0.0082
W210255,2080.0,2140.0,2200.0,16.5,8.96,59.6,1.47,0.349,0.27,0.637,0.569,1.83,3810.0,2340.0,20600.0,518.0,104.0,98.7,261.0,168.0,0.75,4.8,4.93,4.36,0.046
W210258,2740.0,2800.0,2800.0,53.7,29.5,1.52,2.34,0.697,0.081,0.998,2.36,2.55,14700.0,9110.0,620.0,977.0,246.0,35.1,486.0,825.0,1.05,5.7,5.85,6.16,0.0092
W210259,2800.0,2800.0,2800.0,57.8,32.6,1.1,1.15,0.382,0.068,0.613,2.58,1.35,13900.0,8840.0,395.0,421.0,118.0,26.0,262.0,790.0,0.554,5.0,5.13,4.84,0.0028
W210260,2510.0,2800.0,2800.0,53.4,29.8,9.32,0.602,0.382,0.0945,1.38,2.71,1.02,31300.0,19800.0,8190.0,540.0,289.0,87.9,1440.0,2030.0,0.418,12.3,12.6,12.48,0.0045
W210261,2700.0,2800.0,2800.0,56.2,31.0,4.82,1.3,1.83,0.324,3.05,1.32,1.48,53700.0,33500.0,6890.0,1900.0,2250.0,490.0,5190.0,1610.0,0.6,20.1,20.4,19.34,0.014
W210262,2680.0,2750.0,2800.0,42.1,26.7,22.3,0.994,0.349,0.0945,0.889,1.94,1.53,11900.0,8580.0,9460.0,431.0,128.0,42.5,450.0,705.0,0.628,5.9,6.07,5.88,0.0034
